uid,Lat,Lang,Province,Country,2 Days Accuracy Confirmed Cases,2 Days Accuracy Active Cases,2 Days Accuracy New Cases,5 Days Accuracy Confirmed Cases,5 Days Accuracy Active Cases,5 Days Accuracy New Cases
Canada - New Brunswick,46.5653,-66.4619,New Brunswick,Canada,0.75,0.7,0.05,0.54,0.7,0.05
Afghanistan,33.0,65.0,,Afghanistan,0.75,0.75,0.05,0.9199999999999999,0.96,0.05
India,21.0,78.0,,India,0.75,0.8,0.05,0.86,0.78,0.05
Dominican Republic,18.7357,-70.1627,,Dominican Republic,0.75,0.8,0.05,0.8799999999999999,0.9400000000000001,0.05
Cameroon,3.8480000000000003,11.5021,,Cameroon,0.8,0.7,0.55,0.6599999999999999,0.58,0.76
Kenya,-0.0236,37.9062,,Kenya,0.8,0.75,0.05,0.7200000000000001,0.7200000000000001,0.5599999999999999
Guinea,9.9456,-9.6966,,Guinea,0.8,0.8,0.55,0.6399999999999999,0.6399999999999999,0.05
Congo (Kinshasa),-4.0383,21.7587,,Congo (Kinshasa),0.8,0.8,0.05,0.9199999999999999,0.82,0.05
Canada - Manitoba,53.7609,-98.8139,Manitoba,Canada,0.8,0.8,0.05,0.76,0.9,0.05
Kosovo,42.602636,20.902977,,Kosovo,0.8,0.8500000000000001,0.05,0.78,0.76,0.05
Honduras,15.2,-86.2419,,Honduras,0.8,0.8500000000000001,0.05,0.8,0.9,0.05
Canada - Quebec,52.9399,-73.5491,Quebec,Canada,0.8,0.9,0.05,0.9,0.9800000000000001,0.05
Ghana,7.9465,-1.0232,,Ghana,0.85,0.8500000000000001,0.05,0.86,0.7400000000000001,0.05
Peru,-9.19,-75.0152,,Peru,0.8500000000000001,0.8,0.2,0.9400000000000001,0.44000000000000006,0.28
Niger,17.6078,8.0817,,Niger,0.8500000000000001,0.8500000000000001,0.4,0.48,0.45999999999999996,0.05
France,46.2276,2.2137,,France,0.8500000000000001,0.8500000000000001,0.45,0.9400000000000001,0.9,0.5599999999999999
Israel,31.0,35.0,,Israel,0.8500000000000001,0.8500000000000001,0.8999999999999999,0.8800000000000001,0.9800000000000001,0.32
Australia - Victoria,-37.8136,144.9631,Victoria,Australia,0.8500000000000001,0.8500000000000001,0.05,0.86,0.56,0.05
Ecuador,-1.8312,-78.1834,,Ecuador,0.8500000000000001,0.8500000000000001,0.05,0.9,0.9,0.54
Nigeria,9.082,8.6753,,Nigeria,0.8500000000000001,0.8500000000000001,0.05,0.78,0.86,0.05
Canada - Saskatchewan,52.9399,-106.4509,Saskatchewan,Canada,0.8500000000000001,0.8500000000000001,0.05,0.8800000000000001,0.9199999999999999,0.05
Canada - Newfoundland and Labrador,53.1355,-57.6604,Newfoundland and Labrador,Canada,0.8500000000000001,0.8500000000000001,0.05,0.6,0.7000000000000001,0.05
Bosnia and Herzegovina,43.9159,17.6791,,Bosnia and Herzegovina,0.8500000000000001,0.9,0.5,0.9199999999999999,0.99,0.44000000000000006
Canada - Nova Scotia,44.681999999999995,-63.7443,Nova Scotia,Canada,0.8500000000000001,0.9,0.5,0.96,0.96,0.24
Cyprus,35.1264,33.4299,,Cyprus,0.8500000000000001,0.9,0.65,0.9199999999999999,0.78,0.19999999999999998
France - Reunion,-21.1351,55.2471,Reunion,France,0.8500000000000001,0.9,0.05,0.86,0.8400000000000001,0.78
Philippines,13.0,122.0,,Philippines,0.8500000000000001,0.9,0.05,0.9400000000000001,0.9,0.9800000000000001
Mauritius,-20.2,57.5,,Mauritius,0.8500000000000001,0.95,0.45,0.9,0.9,0.8600000000000001
France - Martinique,14.6415,-61.0242,Martinique,France,0.8500000000000001,0.95,0.8,0.8600000000000001,0.99,0.48
Mexico,23.6345,-102.5528,,Mexico,0.9,0.25,0.15000000000000002,0.78,0.6000000000000001,0.5599999999999999
Luxembourg,49.8153,6.1296,,Luxembourg,0.9,0.75,0.45,0.9,0.9199999999999999,0.18
Australia - Western Australia,-31.9505,115.8605,Western Australia,Australia,0.9,0.8,0.05,0.7000000000000001,0.76,0.05
Switzerland,46.8182,8.2275,,Switzerland,0.9,0.8500000000000001,0.4,0.9,0.8799999999999999,0.4
Australia - Australian Capital Territory,-35.4735,149.0124,Australian Capital Territory,Australia,0.9,0.8500000000000001,0.5,0.7400000000000001,0.66,0.05
Kuwait,29.5,47.75,,Kuwait,0.9,0.8500000000000001,0.5,0.96,0.78,0.44000000000000006
Iceland,64.9631,-19.0208,,Iceland,0.9,0.8500000000000001,0.05,0.8400000000000001,0.9,0.5
Iraq,33.0,44.0,,Iraq,0.9,0.9,0.05,0.8,0.8200000000000001,0.9
Senegal,14.4974,-14.4524,,Senegal,0.9,0.9,0.05,0.86,0.76,0.8400000000000001
Chile,-35.6751,-71.543,,Chile,0.9,0.9,0.15000000000000002,0.8799999999999999,0.9400000000000001,0.24
New Zealand,-40.9006,174.886,,New Zealand,0.9,0.9,0.25,0.76,0.8200000000000001,0.78
West Bank and Gaza,31.9522,35.2332,,West Bank and Gaza,0.9,0.9,0.25,0.9199999999999999,0.86,0.05
Hungary,47.1625,19.5033,,Hungary,0.9,0.9,0.3,0.8,0.9,0.6599999999999999
Colombia,4.5709,-74.2973,,Colombia,0.9,0.9,0.30000000000000004,0.9800000000000001,0.9800000000000001,0.18
Iran,32.0,53.0,,Iran,0.9,0.9,0.30000000000000004,0.9199999999999999,0.9199999999999999,0.45999999999999996
Spain,40.0,-4.0,,Spain,0.9,0.9,0.30000000000000004,0.8799999999999999,0.99,0.38
Costa Rica,9.7489,-83.7534,,Costa Rica,0.9,0.9,0.35,0.8400000000000001,0.8799999999999999,0.8400000000000001
Lithuania,55.1694,23.8813,,Lithuania,0.9,0.9,0.35,0.8799999999999999,0.9199999999999999,0.28
Portugal,39.3999,-8.2245,,Portugal,0.9,0.9,0.35,0.9199999999999999,0.99,0.38
South Africa,-30.5595,22.9375,,South Africa,0.9,0.9,0.35,0.6799999999999999,0.74,0.05
Bolivia,-16.2902,-63.5887,,Bolivia,0.9,0.9,0.5,0.68,0.8799999999999999,0.05
Kazakhstan,48.0196,66.9237,,Kazakhstan,0.9,0.9,0.5,0.74,0.8800000000000001,0.7999999999999999
Croatia,45.1,15.2,,Croatia,0.9,0.9,0.55,0.8800000000000001,0.9800000000000001,0.74
Australia - New South Wales,-33.8688,151.2093,New South Wales,Australia,0.9,0.9,0.6499999999999999,0.66,0.76,0.05
Slovakia,48.669,19.699,,Slovakia,0.9,0.9,0.7,0.9199999999999999,0.99,0.36
Netherlands - Aruba,12.5186,-70.0358,Aruba,Netherlands,0.9,0.9,0.75,0.72,0.7400000000000001,0.05
Australia - Queensland,-28.0167,153.4,Queensland,Australia,0.9,0.9,0.8,0.9,0.96,0.54
Austria,47.5162,14.5501,,Austria,0.9,0.9,0.8500000000000001,0.78,0.8400000000000001,0.05
Malta,35.9375,14.3754,,Malta,0.9,0.9,0.9,0.9800000000000001,0.96,0.58
Andorra,42.5063,1.5218,,Andorra,0.9,0.9,0.95,0.68,0.76,0.05
Greece,39.0742,21.8243,,Greece,0.9,0.9,0.05,0.96,0.99,0.44000000000000006
France - Guadeloupe,16.25,-61.5833,Guadeloupe,France,0.9,0.9,0.05,0.9199999999999999,0.9800000000000001,0.9
Canada - Alberta,53.9333,-116.5765,Alberta,Canada,0.9,0.9,0.05,0.9199999999999999,0.9199999999999999,0.05
Turkey,38.9637,35.2433,,Turkey,0.9,0.95,0.0,0.9400000000000001,0.9800000000000001,0.16
United Kingdom,55.3781,-3.4360000000000004,,United Kingdom,0.9,0.95,0.15,0.9800000000000001,0.9,0.1
Azerbaijan,40.1431,47.5769,,Azerbaijan,0.9,0.95,0.15000000000000002,0.82,0.96,0.5800000000000001
Canada - Ontario,51.2538,-85.3232,Ontario,Canada,0.9,0.95,0.2,0.99,0.9400000000000001,0.13999999999999999
Lebanon,33.8547,35.8623,,Lebanon,0.9,0.95,0.2,0.86,0.96,0.72
Netherlands,52.1326,5.2913,,Netherlands,0.9,0.95,0.2,0.8400000000000001,0.99,0.4000000000000001
Czechia,49.8175,15.472999999999999,,Czechia,0.9,0.95,0.25,0.8799999999999999,0.9800000000000001,0.3
Burkina Faso,12.2383,-1.5616,,Burkina Faso,0.9,0.95,0.3,0.8,0.8400000000000001,0.05
"Korea, South",36.0,128.0,,"Korea, South",0.9,0.95,0.30000000000000004,0.86,0.8400000000000001,0.18
Thailand,15.0,101.0,,Thailand,0.9,0.95,0.44999999999999996,0.9,0.76,0.5800000000000001
Latvia,56.8796,24.6032,,Latvia,0.9,0.95,0.85,0.8200000000000001,0.9199999999999999,0.05
Belgium,50.8333,4.0,,Belgium,0.9,0.99,0.0,0.78,0.8400000000000001,0.54
US,37.0902,-95.7129,,US,0.9,0.99,0.05,0.99,0.8400000000000001,0.06000000000000001
Russia,60.0,90.0,,Russia,0.9,0.99,0.1,0.9,0.9199999999999999,0.15999999999999998
Ukraine,48.3794,31.1656,,Ukraine,0.9,0.99,0.15000000000000002,0.9400000000000001,0.99,0.2
Brazil,-14.235,-51.9253,,Brazil,0.9,0.99,0.2,0.82,0.7600000000000001,0.4800000000000001
Tunisia,34.0,9.0,,Tunisia,0.9,0.99,0.2,0.9400000000000001,0.9400000000000001,0.21999999999999997
Saudi Arabia,24.0,45.0,,Saudi Arabia,0.9,0.99,0.30000000000000004,0.9400000000000001,0.8800000000000001,0.12
Australia - South Australia,-34.9285,138.6007,South Australia,Australia,0.95,0.8,0.55,0.8800000000000001,0.8800000000000001,0.05
Belarus,53.7098,27.9534,,Belarus,0.95,0.8500000000000001,0.25,0.76,0.6399999999999999,0.05
Venezuela,6.4238,-66.5897,,Venezuela,0.95,0.8500000000000001,0.05,0.78,0.9,0.05
Denmark - Faroe Islands,61.8926,-6.9118,Faroe Islands,Denmark,0.95,0.8500000000000001,0.05,0.8200000000000001,0.8800000000000001,0.05
France - French Guiana,3.9339,-53.1258,French Guiana,France,0.95,0.9,0.25,0.9,0.66,0.05
Montenegro,42.5,19.3,,Montenegro,0.95,0.9,0.25,0.8200000000000001,0.8,0.7
Qatar,25.3548,51.1839,,Qatar,0.95,0.9,0.4,0.8400000000000001,0.82,0.64
Bulgaria,42.7339,25.4858,,Bulgaria,0.95,0.9,0.6000000000000001,0.96,0.99,0.42000000000000004
Japan,36.0,138.0,,Japan,0.95,0.9,0.8500000000000001,0.9800000000000001,0.8400000000000001,0.48
Brunei,4.5353,114.7277,,Brunei,0.95,0.9,0.05,0.8799999999999999,0.8200000000000001,0.99
Vietnam,16.0,108.0,,Vietnam,0.95,0.9,0.05,0.9,0.99,0.05
Ireland,53.1424,-7.6921,,Ireland,0.95,0.95,0.15000000000000002,0.9,0.99,0.22000000000000003
Moldova,47.4116,28.3699,,Moldova,0.95,0.95,0.25,0.9,0.86,0.42000000000000004
Taiwan*,23.7,121.0,,Taiwan*,0.95,0.95,0.25,0.9,0.9400000000000001,0.76
Cuba,22.0,-80.0,,Cuba,0.95,0.95,0.3,0.7600000000000001,0.8400000000000001,0.05
United Kingdom - Isle of Man,54.2361,-4.5481,Isle of Man,United Kingdom,0.95,0.95,0.3,0.86,0.8400000000000001,0.44000000000000006
Serbia,44.0165,21.0059,,Serbia,0.95,0.95,0.35,0.9800000000000001,0.9800000000000001,0.18
Poland,51.9194,19.1451,,Poland,0.95,0.95,0.39999999999999997,0.96,0.99,0.22000000000000003
Norway,60.472,8.4689,,Norway,0.95,0.95,0.4,0.8799999999999999,0.9400000000000001,0.41999999999999993
Slovenia,46.1512,14.9955,,Slovenia,0.95,0.95,0.4,0.8799999999999999,0.9400000000000001,0.32
Rwanda,-1.9403,29.8739,,Rwanda,0.95,0.95,0.44999999999999996,0.9,0.9800000000000001,0.7
Kyrgyzstan,41.2044,74.7661,,Kyrgyzstan,0.95,0.95,0.5,0.8,0.8400000000000001,0.05
Finland,64.0,26.0,,Finland,0.95,0.95,0.55,0.8400000000000001,0.78,0.05
Algeria,28.0339,1.6596,,Algeria,0.95,0.95,0.6,0.9,0.8800000000000001,0.4
Georgia,42.3154,43.3569,,Georgia,0.95,0.95,0.6,0.9200000000000002,0.9,0.27999999999999997
Pakistan,30.3753,69.3451,,Pakistan,0.95,0.95,0.6,0.99,0.9199999999999999,0.38
Canada - British Columbia,49.2827,-123.1207,British Columbia,Canada,0.95,0.95,0.65,0.8200000000000001,0.8400000000000001,0.05
Sweden,63.0,16.0,,Sweden,0.95,0.95,0.65,0.99,0.9400000000000001,0.26
Armenia,40.0691,45.0382,,Armenia,0.95,0.95,0.7,0.9199999999999999,0.99,0.5599999999999999
France - Mayotte,-12.8275,45.1662,Mayotte,France,0.95,0.95,0.75,0.8800000000000001,0.9399999999999998,0.05
Bahrain,26.0275,50.55,,Bahrain,0.95,0.95,0.05,0.99,0.9199999999999999,0.05
United Kingdom - Gibraltar,36.1408,-5.3536,Gibraltar,United Kingdom,0.95,0.95,0.05,0.7400000000000001,0.9399999999999998,0.05
Italy,43.0,12.0,,Italy,0.95,0.99,0.1,0.9,0.96,0.26
Estonia,58.5953,25.0136,,Estonia,0.95,0.99,0.30000000000000004,0.8800000000000001,0.9,0.5000000000000001
Indonesia,-0.7893,113.9213,,Indonesia,0.95,0.99,0.30000000000000004,0.86,0.9199999999999999,0.5800000000000001
Germany,51.0,9.0,,Germany,0.95,0.99,0.35,0.9,0.96,0.3
Cambodia,11.55,104.9167,,Cambodia,0.99,0.85,0.9,0.9,0.86,0.99
Denmark,56.2639,9.5018,,Denmark,0.99,0.8500000000000001,0.15000000000000002,0.99,0.7200000000000001,0.22000000000000003
Jordan,31.24,36.51,,Jordan,0.99,0.9,0.15000000000000002,0.78,0.78,0.05
United Arab Emirates,24.0,54.0,,United Arab Emirates,0.99,0.9,0.2,0.9,0.8200000000000001,0.54
Trinidad and Tobago,10.6918,-61.2225,,Trinidad and Tobago,0.99,0.95,0.1,0.8799999999999999,0.9800000000000001,0.2
Sri Lanka,7.0,81.0,,Sri Lanka,0.99,0.95,0.15000000000000002,0.9199999999999999,0.9,0.38
Uzbekistan,41.3775,64.5853,,Uzbekistan,0.99,0.95,0.25,0.8400000000000001,0.8800000000000001,0.52
Romania,45.9432,24.9668,,Romania,0.99,0.95,0.3,0.7600000000000001,0.9199999999999999,0.74
Argentina,-38.4161,-63.6167,,Argentina,0.99,0.95,0.6,0.9199999999999999,0.8,0.05
Uruguay,-32.5228,-55.7658,,Uruguay,0.99,0.95,0.7,0.8200000000000001,0.68,0.05
Oman,21.0,57.0,,Oman,0.99,0.99,0.0,0.8200000000000001,0.86,0.39999999999999997
Singapore,1.2833,103.8333,,Singapore,0.99,0.99,0.05,0.9400000000000001,0.9199999999999999,0.12
United Kingdom - Channel Islands,49.3723,-2.3644,Channel Islands,United Kingdom,0.99,0.99,0.2,0.8400000000000001,0.9,0.05
Egypt,26.0,30.0,,Egypt,0.99,0.99,0.25,0.99,0.8799999999999999,0.38
Malaysia,2.5,112.5,,Malaysia,0.99,0.99,0.25,0.9199999999999999,0.9199999999999999,0.34
North Macedonia,41.6086,21.7453,,North Macedonia,0.99,0.99,0.3,0.99,0.9199999999999999,0.26
Albania,41.1533,20.1683,,Albania,0.99,0.99,0.35,0.9199999999999999,0.9399999999999998,0.3
Australia - Tasmania,-41.4545,145.9707,Tasmania,Australia,0.99,0.99,0.35,0.7200000000000001,0.76,0.05
Morocco,31.7917,-7.0926,,Morocco,0.99,0.99,0.5,0.7200000000000001,0.82,0.86
Panama,8.538,-80.7821,,Panama,0.99,0.99,0.5,0.86,0.9,0.05
Cote d'Ivoire,7.54,-5.5471,,Cote d'Ivoire,0.99,0.99,0.55,0.66,0.7000000000000001,0.05
San Marino,43.9424,12.4578,,San Marino,0.99,0.99,0.05,0.9,0.9800000000000001,0.05
